ID,Category,Intent,Canonical_question,Keywords,Response,Language
KB_167,Academic Regulations,readmission_policy_en,Are students allowed re-admission policy?,"re-admission, policy",Students who dropped out due to medical reasons can apply for re-admission within two academic years.,English
KB_168,Academic Regulations,credit_transfer_policy_en,What is credit transfer policy rules?,"credit, transfer, policy",Credit transfers from other recognized universities are evaluated on a case-by-case basis by the academic equivalence committee.,English
KB_169,Academic Regulations,appeal_academic_decision_en,How to appeal academic decisions process?,"appeal, academic, decision",You can formally appeal a grade or disciplinary decision by writing to the Academic Grievance Cell within 15 days of the incident.,English
KB_170,Academic Regulations,academic_integrity_policy_en,What is academic integrity policy guidelines?,"academic, integrity, policy","The policy mandates absolute honesty in assignments, research and exams. All academic work submitted must be the student's original creation.",English
KB_171,Fees & Payment,fee_payment_deadline_en,What is fee payment deadline date?,"fee, payment, deadline",Semester fees must typically be paid within the first 15 days of the semester starting. Exact dates are published in the academic calendar.,English
KB_172,Fees & Payment,pay_fees_online_en,How to pay fees online portal?,"pay, fees, online, portal","Log into the student portal, navigate to 'Finance & Payments' and use a credit card, debit card, or NetBanking to clear your dues.",English
KB_173,Fees & Payment,fee_refund_policy_en,What is fee refund policy rules?,"fee, refund, policy","Refunds are processed according to UGC guidelines. Withdrawing before classes start yields a near-full refund; after that, deductions apply.",English
KB_174,Fees & Payment,fee_installment_options_en,Are installment options available fees?,"installment, options, fees",Installment options are available upon special request to the finance department for students facing severe financial hardship.,English
KB_175,Fees & Payment,late_fee_penalty_en,What is late fee penalty charges?,"late, fee, penalty, charges",A late fee penalty of INR 100 to 500 per day is charged for payments made after the official deadline.,English
KB_176,Fees & Payment,download_fee_receipt_en,How to download fee receipt invoice?,"download, fee, receipt, invoice",Digital fee receipts are automatically generated after successful payment and can be downloaded from the 'Payment History' tab.,English
KB_177,Fees & Payment,scholarship_eligibility_en,What is scholarship eligibility criteria?,"scholarship, eligibility, criteria","Merit scholarships require a CGPA of 8.5+, while need-based scholarships require submission of verified family income certificates.",English
KB_178,Fees & Payment,parents_fee_payment_en,Are parents allowed fee payment access?,"parents, fee, payment, access","Yes, the payment gateway link can be shared with parents, or they can pay directly via the parent portal.",English
KB_179,Fees & Payment,hostel_fee_included_en,What is hostel fee included course?,"hostel, fee, included","No, hostel and mess fees are billed completely separately from academic tuition fees.",English
KB_180,Fees & Payment,apply_fee_concession_en,How to apply fee concession request?,"apply, fee, concession",Applications for fee concessions must be submitted in hard copy to the Registrar's office with supporting financial documents.,English
KB_181,Facilities & Support,library_access_hours_en,What facilities available library access hours?,"library, access, hours","The main campus library is open Monday to Saturday from 8 AM to 10 PM, and reading rooms are open 24/7 during exam weeks.",English
KB_182,Facilities & Support,campus_wifi_login_en,How to use campus wifi login?,"campus, wifi, login",Connect to the 'Campus_Student' network and log in using your student ID and the portal password.,English
KB_183,Facilities & Support,student_counseling_services_en,What is student counseling support services?,"student, counseling, support, mental health","The college provides free, confidential mental health counseling on campus. Appointments can be booked anonymously via the portal.",English
KB_184,Facilities & Support,medical_facilities_campus_en,Are medical facilities available campus?,"medical, facilities, campus","Yes, a health center with a doctor on call and a 24/7 ambulance service is available for emergencies on campus.",English
KB_185,Facilities & Support,transport_facility_routes_en,What is transport facility route details?,"transport, facility, route, bus",College buses ply across 15 major city routes. The exact route maps and timings are available at the Transport Office.,English
KB_186,Facilities & Support,lab_equipment_booking_en,How to access lab equipment booking?,"lab, equipment, booking",Advanced equipment for research projects must be booked 48 hours in advance through the department's lab technician.,English
KB_187,Facilities & Support,hostel_facility_details_en,What is hostel facility accommodation details?,"hostel, facility, accommodation","Hostels offer 2-seater and 3-seater rooms with basic furniture, internet access, and attached or common washrooms.",English
KB_188,Facilities & Support,sports_facilities_students_en,Are sports facilities available students?,"sports, facilities, students","The campus features a football ground, and an indoor gym available to all students after 4 PM.",English
KB_189,Facilities & Support,placement_support_training_en,What is placement support training program?,"placement, support, training","The placement cell provides resume workshops, mock interviews, and aptitude training starting in the pre-final year.",English
KB_190,Facilities & Support,report_maintenance_issue_en,How to report facility maintenance issue?,"report, facility, maintenance, issue",Maintenance issues (like broken ACs or plumbing) can be logged via the 'Helpdesk' tab on the student portal.,English
KB_191,Hostel,hostel_mess_menu_en,What is hostel mess food menu schedule?,"hostel, mess, menu, food",The mess menu is created by the student mess committee and rotates weekly. It is posted on the notice board outside the dining hall.,English
KB_192,Hostel,hostel_meal_timings_en,What are hostel breakfast lunch dinner timings?,"hostel, breakfast, lunch, dinner, timings","Breakfast is 7:30-9:00 AM, Lunch is 12:30-2:00 PM, and Dinner is 7:30-9:00 PM.",English
KB_193,Hostel,hostel_food_options_en,Are vegetarian and non-vegetarian food options available in hostel?,"vegetarian, non-vegetarian, food, hostel","Yes, the mess serves dedicated vegetarian meals daily, and non-vegetarian options are provided 3 to 4 times a week.",English
KB_194,Hostel,hostel_food_quality_en,What is hostel mess food quality standard?,"hostel, food, quality",The food is prepared under strict hygiene standards and audited regularly by the campus health committee.,English
KB_195,Hostel,hostel_special_menu_en,Are special menu days available hostel mess?,"special, menu, hostel, mess","Yes, special festival meals and a 'special dinner' are organized once a month by the student committee.",English
KB_196,Hostel,hostel_mess_fee_en,What is hostel mess fee food charges?,"hostel, mess, fee, charges",Mess charges are typically billed per semester. Exact figures are updated annually on the fee portal.,English
KB_197,Hostel,hostel_accommodation_fee_en,What is hostel accommodation fee structure details?,"hostel, accommodation, fee, structure","Accommodation fees depend on room type (AC vs Non-AC, 2-seater vs 3-seater) and must be paid at the start of the academic year.",English
KB_198,Hostel,hostel_fee_deadline_en,What is hostel fee payment last date?,"hostel, fee, payment, deadline","Hostel fees must be cleared before room allocation is confirmed, usually two weeks before the semester starts.",English
KB_199,Hostel,pay_hostel_fees_online_en,How to pay hostel fees online portal?,"pay, hostel, fees, online","Hostel fees can be paid through the same student finance portal used for tuition, under the 'Hostel & Mess' category.",English
KB_200,Hostel,hostel_fee_refund_en,What is hostel fee refund policy rules?,"hostel, fee, refund, policy","Hostel fees are generally non-refundable once a room has been occupied, except the caution deposit which is returned upon graduation.",English
KB_201,Hostel,hostel_wifi_facility_en,Is hostel wifi internet facility available?,"hostel, wifi, internet, facility","Yes, high-speed Wi-Fi is available in all hostel blocks, authenticated via your student login credentials.",English
KB_202,Hostel,hostel_laundry_location_en,Where is hostel laundry facility location?,"hostel, laundry, facility, location",Paid automatic washing machines and ironing services are located on the ground floor of each hostel block.,English
KB_203,Hostel,hostel_study_room_en,Is hostel study room facility available?,"hostel, study, room, facility","Yes, each hostel block has a dedicated quiet study room available 24/7, equipped with tables and power outlets.",English
KB_204,Hostel,hostel_parking_area_en,Is hostel parking area available students?,"hostel, parking, area, students","Designated parking for two-wheelers is available for hostellers, but prior registration with campus security is required.",English
