Student_Query,Target_Intent
What is assignment file size limit upload?,assignment_file_size_en
max file size for upload,assignment_file_size_en
my pdf is too large to submit,assignment_file_size_en
what is the upload limit on the portal,assignment_file_size_en
how to compress file for assignment upload,assignment_file_size_en
Can parents track assignment submission status?,parent_track_assignments_en
can my parents see my submissions,parent_track_assignments_en
do parents get notified if i miss homework,parent_track_assignments_en
is there an assignment tracker for parents,parent_track_assignments_en
how can family check my academic progress,parent_track_assignments_en
What is assignment evaluation timeline process?,assignment_evaluation_timeline_en
how long to grade assignment,assignment_evaluation_timeline_en
when will we get our assignment marks,assignment_evaluation_timeline_en
time taken by teachers to correct assignments,assignment_evaluation_timeline_en
when are the internal scores published,assignment_evaluation_timeline_en
Are assignments compulsory pass criteria?,assignment_compulsory_pass_en
do i have to pass assignments,assignment_compulsory_pass_en
can i fail if i dont submit homework,assignment_compulsory_pass_en
is it mandatory to clear internal assignments,assignment_compulsory_pass_en
what is the minimum mark for assignments,assignment_compulsory_pass_en
How to request assignment extension approval?,assignment_extension_en
need more time for assignment,assignment_extension_en
can i get an extension on the deadline,assignment_extension_en
how to ask the professor for a late submission,assignment_extension_en
process for requesting extra time for project,assignment_extension_en
What is assignment topic selection guidelines?,assignment_topic_selection_en
how to choose topic,assignment_topic_selection_en
do we pick our own assignment topic,assignment_topic_selection_en
where is the list of approved topics,assignment_topic_selection_en
can i change my project topic later,assignment_topic_selection_en
Can assignment be submitted offline mode?,offline_assignment_submission_en
submit hard copy,offline_assignment_submission_en
can i give the printout to the teacher,offline_assignment_submission_en
is physical submission allowed,offline_assignment_submission_en
where to submit the hard copy of the project,offline_assignment_submission_en
What is assignment marking rubric system?,assignment_marking_rubric_en
show me the marking rubric,assignment_marking_rubric_en
where can i find the grading rubric,assignment_marking_rubric_en
how are the points distributed in the assignment,assignment_marking_rubric_en
rubric breakdown for internal evaluation,assignment_marking_rubric_en
Are assignments included final grade calculation?,assignments_final_grade_en
do assignments count for final marks,assignments_final_grade_en
weightage of homework in final cgpa,assignments_final_grade_en
how much does assignment contribute to degree,assignments_final_grade_en
are internal marks added to the transcript,assignments_final_grade_en
What is assignment plagiarism checking tool?,plagiarism_checking_tool_en
which software checks plagarism,plagiarism_checking_tool_en
does the college use turnitin,plagiarism_checking_tool_en
how is plagiarism detected,plagiarism_checking_tool_en
what tool do teachers use to check copied work,plagiarism_checking_tool_en
Can students skip assignment submission?,skip_assignment_en
what if i dont submit,skip_assignment_en
is it okay if i miss one assignment,skip_assignment_en
consequences of not doing the homework,skip_assignment_en
can i just skip the internal project,skip_assignment_en
What is assignment revision correction policy?,assignment_revision_policy_en
can i revise my work,assignment_revision_policy_en
if i score low can i redo the assignment,assignment_revision_policy_en
rules for rewriting a rejected project,assignment_revision_policy_en
does the teacher allow corrections before grading,assignment_revision_policy_en
Are assignment templates provided institute?,assignment_templates_en
is there a cover page template,assignment_templates_en
where to find the official college title page,assignment_templates_en
do we have a standard format to follow,assignment_templates_en
link to download the assignment template word file,assignment_templates_en
How to contact teacher assignment clarification?,contact_teacher_assignment_en
ask teacher about assignment,contact_teacher_assignment_en
i have a doubt regarding the homework,contact_teacher_assignment_en
how to message the professor for project help,contact_teacher_assignment_en
who to ask if the assignment question is confusing,contact_teacher_assignment_en
Can attendance be condoned medical reasons?,medical_attendance_condonation_en
medical leave for attendance,medical_attendance_condonation_en
what if i miss classes due to sickness,medical_attendance_condonation_en
how to submit a medical certificate for attendance,medical_attendance_condonation_en
does medical leave count as present,medical_attendance_condonation_en
How to apply attendance leave approval?,apply_attendance_leave_en
how to apply for leave,apply_attendance_leave_en
process for getting leave sanctioned,apply_attendance_leave_en
where is the leave application form,apply_attendance_leave_en
how to request a day off from college,apply_attendance_leave_en
What is attendance calculation method system?,attendance_calculation_method_en
how is attendance calculated,attendance_calculation_method_en
how do they calculate the 75 percent,attendance_calculation_method_en
formula for attendance percentage,attendance_calculation_method_en
is attendance calculated per subject or overall,attendance_calculation_method_en
Are online classes attendance counted?,online_class_attendance_en
do online classes count for attendence,online_class_attendance_en
how is attendance taken in zoom,online_class_attendance_en
if my internet disconnects will i be marked absent,online_class_attendance_en
is remote learning attendance mandatory,online_class_attendance_en
What is attendance marking system biometric?,biometric_attendance_en
is there biometric attendance,biometric_attendance_en
do we have to punch in our fingerprints,biometric_attendance_en
how does the id card scanner work for attendance,biometric_attendance_en
is facial recognition used for marking presence,biometric_attendance_en
Can parents view attendance report daily?,parents_view_attendance_en
can parents check attendence,parents_view_attendance_en
do my parents get an sms if i am absent,parents_view_attendance_en
how can my family monitor my class presence,parents_view_attendance_en
parent login for attendance portal,parents_view_attendance_en
What is attendance defaulter warning policy?,attendance_warning_policy_en
shortage of attendance warning,attendance_warning_policy_en
when does the college send a warning letter,attendance_warning_policy_en
how many absences trigger an alert,attendance_warning_policy_en
what happens when you get on the defaulter list,attendance_warning_policy_en
How many leaves allowed attendance criteria?,allowed_leaves_count_en
how many days can i take leave,allowed_leaves_count_en
total number of permitted absences,allowed_leaves_count_en
how many classes can i bunk legally,allowed_leaves_count_en
what is the maximum leave limit per semester,allowed_leaves_count_en
What is attendance requirement exam eligibility?,attendance_exam_eligibility_en
attendence needed for exams,attendance_exam_eligibility_en
can i get hall ticket with 60 attendance,attendance_exam_eligibility_en
minimum criteria to sit for the final test,attendance_exam_eligibility_en
will they stop me from writing exams if i am absent,attendance_exam_eligibility_en
Can attendance be corrected errors report?,attendance_correction_en
attendance marked absent by mistake,attendance_correction_en
i was present but marked absent what to do,attendance_correction_en
how to fix a mistake in the attendance register,attendance_correction_en
who can change my attendance status,attendance_correction_en
What is attendance tracking mobile app?,attendance_mobile_app_en
app for checking attendance,attendance_mobile_app_en
where to download the student attendance app,attendance_mobile_app_en
how to use the college app to view leaves,attendance_mobile_app_en
is there an ios app for the student portal,attendance_mobile_app_en
Are late entries counted attendance present?,late_entry_attendance_en
late to class attendance,late_entry_attendance_en
if i am 10 minutes late will i get attendance,late_entry_attendance_en
does coming late count as half day absent,late_entry_attendance_en
rules for entering the class after it starts,late_entry_attendance_en
What is attendance audit verification process?,attendance_audit_en
attendance verification process,attendance_audit_en
how often is attendance reviewed by admin,attendance_audit_en
what is the monthly attendance check,attendance_audit_en
who audits the student absence records,attendance_audit_en
Can attendance be transferred between sections?,transfer_attendance_en
transfer attendance to new section,transfer_attendance_en
if i change batches will my attendance carry over,transfer_attendance_en
how to merge attendance after changing electives,transfer_attendance_en
will i lose attendance if i switch classes,transfer_attendance_en
What is attendance holiday exemption rules?,holiday_attendance_exemption_en
do holidays count in attendance,holiday_attendance_exemption_en
how are public holidays treated in the calculation,holiday_attendance_exemption_en
is attendance impacted by college closures,holiday_attendance_exemption_en
are festival holidays marked as absent,holiday_attendance_exemption_en
How to download attendance report PDF?,download_attendance_report_en
download attendance sheet,download_attendance_report_en
how to get a printout of my semester attendance,download_attendance_report_en
where to generate attendance certificate,download_attendance_report_en
how to export my leave history to pdf,download_attendance_report_en
What is attendance shortage re-evaluation process?,attendance_reevaluation_en
recalculate my attendance,attendance_reevaluation_en
how to appeal my attendance shortage,attendance_reevaluation_en
can i ask the hod to recount my presence,attendance_reevaluation_en
process for challenging the defaulter list,attendance_reevaluation_en
Are practical classes attendance compulsory?,practical_class_attendance_en
is lab attendance strict,practical_class_attendance_en
what if i miss a laboratory session,practical_class_attendance_en
is 100 percent attendance needed for practicals,practical_class_attendance_en
can i reschedule a missed lab class,practical_class_attendance_en
What is attendance grace marks policy?,attendance_grace_marks_en
grace marks for full attendance,attendance_grace_marks_en
do i get extra marks for 100 attendance,attendance_grace_marks_en
is there a reward for not missing any classes,attendance_grace_marks_en
how does perfect attendance help my grades,attendance_grace_marks_en
How attendance affects internal marks grading?,attendance_internal_marks_en
marks for attendance,attendance_internal_marks_en
is there a weightage for attendance in internals,attendance_internal_marks_en
how many points do i lose for skipping class,attendance_internal_marks_en
connection between class presence and assessment score,attendance_internal_marks_en
Can attendance be waived special cases?,attendance_waiver_en
attendance waiver for sports,attendance_waiver_en
exemption for participating in ncc or nss,attendance_waiver_en
if i represent college in a tournament do i get attendance,attendance_waiver_en
how to apply for on duty attendance leave,attendance_waiver_en
What is attendance policy for internships?,internship_attendance_policy_en
attendance during internship,internship_attendance_policy_en
do i need to attend college while doing an internship,internship_attendance_policy_en
how is presence calculated for industry training,internship_attendance_policy_en
certificate of attendance from employer,internship_attendance_policy_en
how to download exam timetable schedule,download_exam_timetable_en
what is grading system cgpa calculation,cgpa_calculation_en
where can i download the final exam timetable,download_exam_timetable_en
give me the pdf link for the exam schedule,download_exam_timetable_en
how to get the datesheet for exams,download_exam_timetable_en
download semester exam dates,download_exam_timetable_en
what is the tuition fee for the semester,course_fee_structure_en
how much is the academic fee for this degree,course_fee_structure_en
total cost of the academic program,course_fee_structure_en
course fee breakdown and tuition charges,course_fee_structure_en
how much do i pay for college classes,course_fee_structure_en
what is the rent for the hostel room,hostel_accommodation_fee_en
how much does dorm accommodation cost,hostel_accommodation_fee_en
hostel room fee structure for ac and non ac,hostel_accommodation_fee_en
annual charges for staying in the college dorms,hostel_accommodation_fee_en
how much do i pay for staying on campus,hostel_accommodation_fee_en
how much is the food bill in the hostel,hostel_mess_fee_en
monthly cost for the mess food,hostel_mess_fee_en
mess fee charges and dining hall dues,hostel_mess_fee_en
payment for hostel meals and dinner,hostel_mess_fee_en
is the canteen or mess fee separate,hostel_mess_fee_en
how is my attendance percentage calculated,attendance_calculation_method_en
what is the mathematical formula for attendance,attendance_calculation_method_en
how do you calculate class presence ratio,attendance_calculation_method_en
how does the college measure my attendance,attendance_calculation_method_en
explain the calculation for present days,attendance_calculation_method_en
what happens if my attendance is below minimum,attendance_shortage_penalty_en
punishment for low attendance in class,attendance_shortage_penalty_en
detained due to attendance shortage consequences,attendance_shortage_penalty_en
will i be penalized for bunking too many classes,attendance_shortage_penalty_en
action taken against students with poor attendance,attendance_shortage_penalty_en
minimum attendance required to write final exams,attendance_exam_eligibility_en
can i get my hall ticket with low attendance,attendance_exam_eligibility_en
attendance requirement for generating hall ticket,attendance_exam_eligibility_en
will they stop me from taking the exam if i am absent,attendance_exam_eligibility_en
eligibility criteria for sitting in the semester exam,attendance_exam_eligibility_en
what is the penalty for late fee payment,late_fee_penalty_en
how much is the fine if i pay tuition after the deadline,late_fee_penalty_en
charges for overdue college fee submission,late_fee_penalty_en
what happens if i miss the fee payment date,late_fee_penalty_en
late fine amount for semester dues,late_fee_penalty_en
what is the exact deadline to pay semester fees,fee_payment_deadline_en
last date to clear all college dues without fine,fee_payment_deadline_en
when is the tuition fee supposed to be paid,fee_payment_deadline_en
schedule and dates for fee submission,fee_payment_deadline_en
how much time do i have to pay the college fees,fee_payment_deadline_en
What is exam revaluation process steps?,exam_revaluation_process_en
how to apply for exam paper revaluation,exam_revaluation_process_en
what is the process for re-evaluating my exam marks,exam_revaluation_process_en
steps to apply for rechecking of answer script,exam_revaluation_process_en
how to challenge my exam score,exam_revaluation_process_en
i want my exam paper rechecked what is the procedure,exam_revaluation_process_en
